state	1	start
state	100	accept
state	50	accept
state	75	accept
transition	1	0	2
transition	2	1	3
transition	3	0	4
transition	4	1	5
transition	5	0	6
transition	6	1	7
transition	7	0	8
transition	8	1	9
transition	9	0	10
transition	10	1	11
transition	11	0	12
transition	12	1	13
transition	13	0	14
transition	14	1	15
transition	15	0	16
transition	16	1	17
transition	17	0	18
transition	18	1	19
transition	19	0	20
transition	20	1	21
transition	21	0	22
transition	22	1	23
transition	23	0	24
transition	24	1	25
transition	25	0	26
transition	26	1	27
transition	27	0	28
transition	28	1	29
transition	29	0	30
transition	30	1	31
transition	31	0	32
transition	32	1	33
transition	33	0	34
transition	34	1	35
transition	35	0	36
transition	36	1	37
transition	37	0	38
transition	38	1	39
transition	39	0	40
transition	40	1	41
transition	41	0	42
transition	42	1	43
transition	43	0	44
transition	44	1	45
transition	45	0	46
transition	46	1	47
transition	47	0	48
transition	48	1	49
transition	49	0	50
transition	50	1	51
transition	51	0	52
transition	52	1	53
transition	53	0	54
transition	54	1	55
transition	55	0	56
transition	56	1	57
transition	57	0	58
transition	58	1	59
transition	59	0	60
transition	60	1	61
transition	61	0	62
transition	62	1	63
transition	63	0	64
transition	64	1	65
transition	65	0	66
transition	66	1	67
transition	67	0	68
transition	68	1	69
transition	69	0	70
transition	70	1	71
transition	71	0	72
transition	72	1	73
transition	73	0	74
transition	74	1	75
transition	75	0	76
transition	76	1	77
transition	77	0	78
transition	78	1	79
transition	79	0	80
transition	80	1	81
transition	81	0	82
transition	82	1	83
transition	83	0	84
transition	84	1	85
transition	85	0	86
transition	86	1	87
transition	87	0	88
transition	88	1	89
transition	89	0	90
transition	90	1	91
transition	91	0	92
transition	92	1	93
transition	93	0	94
transition	94	1	95
transition	95	0	96
transition	96	1	97
transition	97	0	98
transition	98	1	99
transition	99	0	100
transition	100	1	1
transition	1	1	1
transition	50	0	50
transition	75	1	75
transition	100	0	100
transition	1	0	50
transition	50	1	75
transition	75	0	100
transition	100	1	50
transition	1	1	75
transition	50	0	100
transition	75	1	1
transition	100	0	75
transition	25	0	50
transition	25	1	75
transition	40	0	100
transition	40	1	1
transition	60	0	50
transition	60	1	75
transition	80	0	100
transition	80	1	1
transition	10	0	50
transition	10	1	75
transition	20	0	100
transition	20	1	1
transition	30	0	50
transition	30	1	75
transition	70	0	100
transition	70	1	1
transition	90	0	50
transition	90	1	75
transition	5	0	100
transition	5	1	1
transition	15	0	50
transition	15	1	75
transition	35	0	100
transition	35	1	1
transition	45	0	50
transition	45	1	75
transition	55	0	100
transition	55	1	1
transition	65	0	50
transition	65	1	75
transition	85	0	100
transition	85	1	1
transition	95	0	50
transition	95	1	75
transition	3	0	100
transition	3	1	1
transition	7	0	50
transition	7	1	75
transition	9	0	100
transition	9	1	1
transition	11	0	50
transition	11	1	75
transition	13	0	100
transition	13	1	1
